Radius	Rho	Mass	phi	Temp	Fe	O	Si	Mg	Ni	Ca	Al	S	Cr	Na	P	Mn	C	H	Total	Li
2.700000e-01	2.154026e+00	4.396384e-02	1.701053e+00	5.857166e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
2.750000e-01	2.150078e+00	4.636054e-02	1.698013e+00	5.832299e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
2.800000e-01	2.146059e+00	4.884219e-02	1.694923e+00	5.807432e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
2.850000e-01	2.141968e+00	5.140875e-02	1.691783e+00	5.782564e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
2.900000e-01	2.137804e+00	5.406142e-02	1.688594e+00	5.757697e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
2.950000e-01	2.133566e+00	5.680283e-02	1.685355e+00	5.732830e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
3.000000e-01	2.129253e+00	5.963265e-02	1.682067e+00	5.707963e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
3.050000e-01	2.124864e+00	6.255201e-02	1.678729e+00	5.683095e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
3.100000e-01	2.120399e+00	6.556305e-02	1.675343e+00	5.658228e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
3.150000e-01	2.115856e+00	6.866507e-02	1.671907e+00	5.633361e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
3.200000e-01	2.111233e+00	7.186142e-02	1.668423e+00	5.608493e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
3.250000e-01	2.106532e+00	7.515177e-02	1.664889e+00	5.583626e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
3.300000e-01	2.101749e+00	7.853672e-02	1.661308e+00	5.558759e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
3.350000e-01	2.096885e+00	8.201860e-02	1.657678e+00	5.533891e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
3.400000e-01	2.091938e+00	8.559682e-02	1.653999e+00	5.509024e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
3.450000e-01	2.086908e+00	8.927304e-02	1.650273e+00	5.484157e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
3.500000e-01	2.081792e+00	9.304915e-02	1.646499e+00	5.459290e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
3.550000e-01	2.076592e+00	9.692420e-02	1.642677e+00	5.434422e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
3.600000e-01	2.071305e+00	1.009002e-01	1.638808e+00	5.409555e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
3.650000e-01	2.065930e+00	1.049776e-01	1.634892e+00	5.384688e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
3.700000e-01	2.060467e+00	1.091577e-01	1.630929e+00	5.359820e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
3.750000e-01	2.054914e+00	1.134400e-01	1.626919e+00	5.334953e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
